env,dist,n,mean,std,min,max,median
inside,1.0,651,-53.21,1.02,-55,-50,-53.0
inside,3.0,712,-69.55,1.37,-75,-66,-70.0
inside,5.0,1449,-70.0,2.96,-78,-62,-70.0
inside,7.0,1535,-69.43,2.74,-80,-63,-70.0
inside,9.0,821,-69.79,3.66,-77,-64,-68.0
inside,11.0,789,-75.08,2.41,-82,-66,-75.0
inside,13.0,215,-65.59,2.56,-73,-58,-65.0
outside,1.0,668,-70.63,0.91,-73,-68,-71.0
outside,2.0,643,-82.07,3.72,-95,-75,-82.0
outside,3.0,666,-85.12,2.68,-95,-79,-85.0
outside,4.0,610,-84.7,2.23,-94,-80,-84.0
outside,5.0,599,-90.71,2.44,-98,-85,-91.0
outside,6.0,382,-92.16,2.65,-100,-84,-93.0
outside,7.0,478,-93.0,1.89,-98,-87,-93.0
outside,8.0,487,-91.51,2.45,-97,-86,-91.0
outside,9.0,403,-78.06,2.69,-90,-71,-78.0
outside,10.0,410,-83.47,2.49,-92,-77,-83.0
outside,15.0,379,-72.81,1.05,-76,-71,-73.0
outside,20.0,389,-90.08,2.56,-95,-80,-90.0
