unix_ms,node_id,broadcast_hello_cycles,broadcast_topo_cycles,process_packet_hello_cycles,process_packet_topo_cycles,calc_state_mds_total_cycles,calc_state_kabsch_cycles,calc_state_mds_iter_cycles,calc_state_routing_update_cycles,calc_state_build_neighbors_cycles,update_screen_mds_cycles,update_screen_table_cycles,broadcast_hello_ns,broadcast_topo_ns,process_packet_hello_ns,process_packet_topo_ns,calc_state_mds_total_ns,calc_state_kabsch_ns,calc_state_mds_iter_ns,calc_state_routing_update_ns,calc_state_build_neighbors_ns,update_screen_mds_ns,update_screen_table_ns
1782670061365,8,45000,31405,66107,5016,128666,0,88741,118093,197559,0,0,281250.000,196281.250,413168.750,31350.000,804162.500,0.000,554631.250,738081.250,1234743.750,0.000,0.000
1782670061365,2,38927,32853,71337,99557,130666,0,90270,277288,35240,0,0,243293.750,205331.250,445856.250,622231.250,816662.500,0.000,564187.500,1733050.000,220250.000,0.000,0.000
1782670061365,1,75664,33217,70065,74435,128182,0,90270,118844,10621,0,0,472900.000,207606.250,437906.250,465218.750,801137.500,0.000,564187.500,742775.000,66381.250,0.000,0.000
1782670061365,8,45000,31405,66107,112125,128666,0,88741,118093,197559,0,0,281250.000,196281.250,413168.750,700781.250,804162.500,0.000,554631.250,738081.250,1234743.750,0.000,0.000
1782670061365,7,71200,35008,70987,21550,7545262,68947,7450858,299365,83517,0,0,445000.000,218800.000,443668.750,134687.500,47157887.500,430918.750,46567862.500,1871031.250,521981.250,0.000,0.000
1782670061365,6,74849,34223,71607,7915,7581614,68951,7485928,302966,69693,0,0,467806.250,213893.750,447543.750,49468.750,47385087.500,430943.750,46787050.000,1893537.500,435581.250,0.000,0.000
1782670061365,1,75664,33217,70065,74435,128182,0,90270,118844,10621,0,0,472900.000,207606.250,437906.250,465218.750,801137.500,0.000,564187.500,742775.000,66381.250,0.000,0.000
1782670061365,8,45000,31405,66107,112125,128666,0,88741,118093,197559,0,0,281250.000,196281.250,413168.750,700781.250,804162.500,0.000,554631.250,738081.250,1234743.750,0.000,0.000
1782670061365,7,71200,35008,70987,130698,7545262,68947,7450858,299365,83517,0,0,445000.000,218800.000,443668.750,816862.500,47157887.500,430918.750,46567862.500,1871031.250,521981.250,0.000,0.000
1782670061380,1,75664,33217,70065,74435,128182,0,90270,118844,10621,0,0,472900.000,207606.250,437906.250,465218.750,801137.500,0.000,564187.500,742775.000,66381.250,0.000,0.000
1782670061380,8,45000,31405,66107,112125,128666,0,88741,118093,197559,0,0,281250.000,196281.250,413168.750,700781.250,804162.500,0.000,554631.250,738081.250,1234743.750,0.000,0.000
1782670061386,5,71679,35117,70987,97900,7530462,68947,7435428,305664,82771,18338916,8933774,447993.750,219481.250,443668.750,611875.000,47065387.500,430918.750,46471425.000,1910400.000,517318.750,114618225.000,55836087.500
1782670061400,8,45000,31405,66107,112125,128666,0,88741,118093,197559,0,0,281250.000,196281.250,413168.750,700781.250,804162.500,0.000,554631.250,738081.250,1234743.750,0.000,0.000
1782670061400,5,71679,35117,70987,97900,7530462,68947,7435428,305664,82771,18338916,8933774,447993.750,219481.250,443668.750,611875.000,47065387.500,430918.750,46471425.000,1910400.000,517318.750,114618225.000,55836087.500
1782670061400,1,75664,33217,70065,74435,128182,0,90270,118844,10621,0,0,472900.000,207606.250,437906.250,465218.750,801137.500,0.000,564187.500,742775.000,66381.250,0.000,0.000
1782670061413,6,74849,34223,71607,7915,7581614,68951,7485928,302966,69693,0,0,467806.250,213893.750,447543.750,49468.750,47385087.500,430943.750,46787050.000,1893537.500,435581.250,0.000,0.000
1782670061422,1,75664,33217,70065,74435,128182,0,90270,118844,10621,0,0,472900.000,207606.250,437906.250,465218.750,801137.500,0.000,564187.500,742775.000,66381.250,0.000,0.000
1782670061424,5,71679,35117,70987,97900,7424372,68947,7331212,312052,82771,18338916,8933774,447993.750,219481.250,443668.750,611875.000,46402325.000,430918.750,45820075.000,1950325.000,517318.750,114618225.000,55836087.500
1782670061440,6,74849,34223,71607,98512,7447824,72207,7350140,520526,82771,0,0,467806.250,213893.750,447543.750,615700.000,46548900.000,451293.750,45938375.000,3253287.500,517318.750,0.000,0.000
1782670061440,5,71679,35117,70987,97900,7424372,68947,7331212,312052,82771,18338916,8933774,447993.750,219481.250,443668.750,611875.000,46402325.000,430918.750,45820075.000,1950325.000,517318.750,114618225.000,55836087.500
1782670061440,1,75664,33217,70065,83589,128182,0,90270,118844,10621,0,0,472900.000,207606.250,437906.250,522431.250,801137.500,0.000,564187.500,742775.000,66381.250,0.000,0.000
1782670061449,7,71200,35008,70987,90434,7948336,68947,7852038,300346,83517,0,0,445000.000,218800.000,443668.750,565212.500,49677100.000,430918.750,49075237.500,1877162.500,521981.250,0.000,0.000
1782670061449,6,74849,34223,71607,100627,7447824,72207,7350140,520526,82771,0,0,467806.250,213893.750,447543.750,628918.750,46548900.000,451293.750,45938375.000,3253287.500,517318.750,0.000,0.000
1782670061464,1,75664,33217,70065,83589,128182,0,90270,118844,10621,0,0,472900.000,207606.250,437906.250,522431.250,801137.500,0.000,564187.500,742775.000,66381.250,0.000,0.000
1782670061464,7,71200,35008,70987,90434,7948336,68947,7852038,300346,83517,0,0,445000.000,218800.000,443668.750,565212.500,49677100.000,430918.750,49075237.500,1877162.500,521981.250,0.000,0.000
1782670061483,6,64998,34223,71607,100627,7765970,68951,7670914,423558,100741,0,0,406237.500,213893.750,447543.750,628918.750,48537312.500,430943.750,47943212.500,2647237.500,629631.250,0.000,0.000
1782670061484,1,75664,33217,70065,83589,128182,0,90270,118844,10621,0,0,472900.000,207606.250,437906.250,522431.250,801137.500,0.000,564187.500,742775.000,66381.250,0.000,0.000
1782670061500,6,64998,34223,71607,101247,7765970,68951,7670914,423558,100741,0,0,406237.500,213893.750,447543.750,632793.750,48537312.500,430943.750,47943212.500,2647237.500,629631.250,0.000,0.000
1782670061500,1,75664,33217,70065,100623,128182,0,90270,118844,10621,0,0,472900.000,207606.250,437906.250,628893.750,801137.500,0.000,564187.500,742775.000,66381.250,0.000,0.000
1782670061501,7,71200,35008,70987,100639,7364880,68947,7271090,329146,82887,0,0,445000.000,218800.000,443668.750,628993.750,46030500.000,430918.750,45444312.500,2057162.500,518043.750,0.000,0.000
1782670061515,1,75664,33217,70065,100623,128182,0,90270,118844,10621,0,0,472900.000,207606.250,437906.250,628893.750,801137.500,0.000,564187.500,742775.000,66381.250,0.000,0.000
