unix_ms,kind,node_id,src,label,rssi,marker_index
1782651778203,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-55,
1782651778203,sample,0,e8:3d:c1:85:d4:18,inside-1m,-53,
1782651778226,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-54,
1782651778227,sample,0,e8:3d:c1:85:d4:18,inside-1m,-53,
1782651778259,sample,0,e8:3d:c1:85:d4:18,inside-1m,-53,
1782651778288,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-54,
1782651778323,sample,0,e8:3d:c1:85:d4:18,inside-1m,-54,
1782651778323,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-55,
1782651778332,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-54,
1782651778340,sample,0,e8:3d:c1:85:d4:18,inside-1m,-54,
1782651778369,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-55,
1782651778470,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-55,
1782651778915,sample,0,e8:3d:c1:85:d4:18,inside-1m,-53,
1782651778926,sample,0,e8:3d:c1:85:d4:18,inside-1m,-52,
1782651778938,sample,0,e8:3d:c1:85:d4:18,inside-1m,-51,
1782651778956,sample,0,e8:3d:c1:85:d4:18,inside-1m,-52,
1782651778989,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-53,
1782651778996,sample,0,e8:3d:c1:85:d4:18,inside-1m,-52,
1782651779020,sample,0,e8:3d:c1:85:d4:18,inside-1m,-51,
1782651779020,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-53,
1782651779030,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-53,
1782651779042,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-53,
1782651779055,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-55,
1782651779072,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-55,
1782651779538,sample,0,e8:3d:c1:85:d4:18,inside-1m,-53,
1782651779554,sample,0,e8:3d:c1:85:d4:18,inside-1m,-54,
1782651779565,sample,0,e8:3d:c1:85:d4:18,inside-1m,-52,
1782651779600,sample,0,e8:3d:c1:85:d4:18,inside-1m,-54,
1782651779602,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-55,
1782651779616,sample,0,e8:3d:c1:85:d4:18,inside-1m,-54,
1782651779616,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-53,
1782651779650,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-55,
1782651779650,sample,0,e8:3d:c1:85:d4:18,inside-1m,-52,
1782651779659,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-55,
1782651779669,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-53,
1782651780161,sample,0,e8:3d:c1:85:d4:18,inside-1m,-52,
1782651780171,sample,0,e8:3d:c1:85:d4:18,inside-1m,-51,
1782651780182,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-53,
1782651780185,sample,0,e8:3d:c1:85:d4:18,inside-1m,-51,
1782651780203,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-53,
1782651780213,sample,0,e8:3d:c1:85:d4:18,inside-1m,-52,
1782651780214,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-53,
1782651780224,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-53,
1782651780725,sample,0,e8:3d:c1:85:d4:18,inside-1m,-52,
1782651780736,sample,0,e8:3d:c1:85:d4:18,inside-1m,-53,
1782651780737,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-53,
1782651780746,sample,0,e8:3d:c1:85:d4:18,inside-1m,-52,
1782651780746,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-54,
1782651780758,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-54,
1782651780760,sample,0,e8:3d:c1:85:d4:18,inside-1m,-53,
1782651780768,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-55,
1782651780773,sample,0,e8:3d:c1:85:d4:18,inside-1m,-54,
1782651780777,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-55,
1782651780784,sample,0,e8:3d:c1:85:d4:18,inside-1m,-54,
1782651780788,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-55,
1782651781304,sample,0,e8:3d:c1:85:d4:18,inside-1m,-51,
1782651781304,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-53,
1782651781361,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-53,
1782651781393,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-53,
1782651781395,sample,0,e8:3d:c1:85:d4:18,inside-1m,-52,
1782651781404,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-53,
1782651781412,sample,0,e8:3d:c1:85:d4:18,inside-1m,-51,
1782651781440,sample,0,e8:3d:c1:85:d4:18,inside-1m,-52,
1782651781440,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-53,
1782651781453,sample,0,e8:3d:c1:85:d4:18,inside-1m,-51,
1782651781958,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-52,
1782651781965,sample,0,e8:3d:c1:85:d4:18,inside-1m,-52,
1782651781970,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-54,
1782651781978,sample,0,e8:3d:c1:85:d4:18,inside-1m,-53,
1782651781981,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-53,
1782651781991,sample,0,e8:3d:c1:85:d4:18,inside-1m,-52,
1782651781998,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-53,
1782651782007,sample,0,e8:3d:c1:85:d4:18,inside-1m,-52,
1782651782010,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-54,
1782651782183,sample,0,e8:3d:c1:85:e6:b4,inside-1m,-54,
1782651782211,sample,0,e8:3d:c1:85:d4:18,inside-1m,-53,
1782651782232,sample,0,e8:3d:c1:85:d4:18,inside-1m,-53,
