unix_ms,kind,node_id,src,label,rssi,marker_index
1782652870590,sample,0,e8:3d:c1:85:e6:b4,inside-m,-70,
1782652870600,sample,0,e8:3d:c1:85:e6:b4,inside-m,-69,
1782652870613,sample,0,e8:3d:c1:85:e6:b4,inside-m,-70,
1782652870624,sample,0,e8:3d:c1:85:e6:b4,inside-m,-69,
1782652870640,sample,0,e8:3d:c1:85:e6:b4,inside-m,-67,
1782652870651,sample,0,e8:3d:c1:85:e6:b4,inside-m,-68,
1782652871008,sample,0,e8:3d:c1:85:d4:18,inside-m,-66,
1782652871021,sample,0,e8:3d:c1:85:d4:18,inside-m,-67,
1782652871037,sample,0,e8:3d:c1:85:d4:18,inside-m,-73,
1782652871047,sample,0,e8:3d:c1:85:d4:18,inside-m,-70,
1782652871104,sample,0,e8:3d:c1:85:d4:18,inside-m,-70,
1782652871116,sample,0,e8:3d:c1:85:d4:18,inside-m,-75,
1782652871184,sample,0,e8:3d:c1:85:e6:b4,inside-m,-73,
1782652871195,sample,0,e8:3d:c1:85:e6:b4,inside-m,-73,
1782652871205,sample,0,e8:3d:c1:85:e6:b4,inside-m,-70,
1782652871215,sample,0,e8:3d:c1:85:e6:b4,inside-m,-73,
1782652871225,sample,0,e8:3d:c1:85:e6:b4,inside-m,-74,
1782652871234,sample,0,e8:3d:c1:85:e6:b4,inside-m,-77,
1782652871630,sample,0,e8:3d:c1:85:d4:18,inside-m,-66,
1782652871644,sample,0,e8:3d:c1:85:d4:18,inside-m,-72,
1782652871657,sample,0,e8:3d:c1:85:d4:18,inside-m,-78,
1782652871698,sample,0,e8:3d:c1:85:d4:18,inside-m,-70,
1782652871717,sample,0,e8:3d:c1:85:d4:18,inside-m,-70,
1782652871731,sample,0,e8:3d:c1:85:d4:18,inside-m,-71,
1782652871745,sample,0,e8:3d:c1:85:e6:b4,inside-m,-73,
1782652871756,sample,0,e8:3d:c1:85:e6:b4,inside-m,-74,
1782652871768,sample,0,e8:3d:c1:85:e6:b4,inside-m,-71,
1782652871798,sample,0,e8:3d:c1:85:e6:b4,inside-m,-73,
1782652871811,sample,0,e8:3d:c1:85:e6:b4,inside-m,-68,
1782652872260,sample,0,e8:3d:c1:85:d4:18,inside-m,-68,
1782652872288,sample,0,e8:3d:c1:85:d4:18,inside-m,-74,
1782652872323,sample,0,e8:3d:c1:85:e6:b4,inside-m,-77,
1782652872325,sample,0,e8:3d:c1:85:d4:18,inside-m,-72,
1782652872336,sample,0,e8:3d:c1:85:e6:b4,inside-m,-71,
1782652872336,sample,0,e8:3d:c1:85:d4:18,inside-m,-76,
1782652872350,sample,0,e8:3d:c1:85:d4:18,inside-m,-70,
1782652872350,sample,0,e8:3d:c1:85:e6:b4,inside-m,-73,
1782652872361,sample,0,e8:3d:c1:85:e6:b4,inside-m,-76,
1782652872378,sample,0,e8:3d:c1:85:e6:b4,inside-m,-71,
1782652872439,sample,0,e8:3d:c1:85:e6:b4,inside-m,-71,
1782652872884,sample,0,e8:3d:c1:85:d4:18,inside-m,-70,
1782652872921,sample,0,e8:3d:c1:85:d4:18,inside-m,-71,
1782652872944,sample,0,e8:3d:c1:85:d4:18,inside-m,-71,
1782652872953,sample,0,e8:3d:c1:85:e6:b4,inside-m,-71,
1782652872959,sample,0,e8:3d:c1:85:d4:18,inside-m,-71,
1782652872963,sample,0,e8:3d:c1:85:e6:b4,inside-m,-71,
1782652872975,sample,0,e8:3d:c1:85:e6:b4,inside-m,-72,
1782652872975,sample,0,e8:3d:c1:85:d4:18,inside-m,-72,
1782652872987,sample,0,e8:3d:c1:85:e6:b4,inside-m,-75,
1782652872991,sample,0,e8:3d:c1:85:d4:18,inside-m,-72,
1782652873011,sample,0,e8:3d:c1:85:e6:b4,inside-m,-71,
1782652873029,sample,0,e8:3d:c1:85:d4:18,inside-m,-68,
1782652873029,sample,0,e8:3d:c1:85:e6:b4,inside-m,-69,
1782652873569,sample,0,e8:3d:c1:85:d4:18,inside-m,-68,
1782652873569,sample,0,e8:3d:c1:85:e6:b4,inside-m,-69,
1782652873585,sample,0,e8:3d:c1:85:e6:b4,inside-m,-68,
1782652873585,sample,0,e8:3d:c1:85:d4:18,inside-m,-68,
1782652873594,sample,0,e8:3d:c1:85:e6:b4,inside-m,-70,
1782652873594,sample,0,e8:3d:c1:85:d4:18,inside-m,-69,
1782652873605,sample,0,e8:3d:c1:85:e6:b4,inside-m,-73,
1782652873607,sample,0,e8:3d:c1:85:d4:18,inside-m,-70,
1782652873635,sample,0,e8:3d:c1:85:d4:18,inside-m,-73,
1782652873635,sample,0,e8:3d:c1:85:e6:b4,inside-m,-74,
1782652873653,sample,0,e8:3d:c1:85:d4:18,inside-m,-75,
1782652874153,sample,0,e8:3d:c1:85:e6:b4,inside-m,-75,
